Versuch,Material,Block_Config,Messung_Type,Messwert_Avg,Messwert_Delta,Kontaktflaeche_cm2,Voltage_V,Oberflaeche_Art
Tribologie,Stahl,B+1+2+3+4,M1,3.15,0.1499999999999999,10x3.9,,
Tribologie,Stahl,B+1+2+3+4,M2,3.175,0.22499999999999987,10x3.9,,
Tribologie,Stahl,B+1+2+3+4,M3,3.175,0.22499999999999987,10x3.9,,
Tribologie,Stahl,B+1+2+3,M1,2.85,0.25,10x3.9,,
Tribologie,Stahl,B+1+2+3,M2,2.875,0.2250000000000001,10x3.9,,
Tribologie,Stahl,B+1+2+3,M3,2.875,0.2250000000000001,10x3.9,,
Tribologie,Stahl,B+1+2,M1,2.55,0.19999999999999996,10x3.9,,
Tribologie,Stahl,B+1+2,M2,2.575,0.22499999999999987,10x3.9,,
Tribologie,Stahl,B+1+2,M3,2.625,0.17499999999999982,10x3.9,,
Tribologie,Stahl,B+1,M1,2.2,0.19999999999999996,10x3.9,,
Tribologie,Stahl,B+1,M2,2.2,0.19999999999999996,10x3.9,,
Tribologie,Stahl,B+1,M3,2.2,0.19999999999999996,10x3.9,,
Tribologie,Stahl,B,M1,1.775,0.125,10x3.9,,
Tribologie,Stahl,B,M2,1.775,0.125,10x3.9,,
Tribologie,Stahl,B,M3,1.75,0.10000000000000009,10x3.9,,
Tribologie,Weiss,B+1+2+3+4,M1,1.9249999999999998,0.12499999999999989,10x4,,
Tribologie,Weiss,B+1+2+3+4,M2,1.875,0.125,10x4,,
Tribologie,Weiss,B+1+2+3+4,M3,1.9,0.1499999999999999,10x4,,
Tribologie,Weiss,B+1+2+3,M1,1.75,0.10000000000000009,10x4,,
Tribologie,Weiss,B+1+2+3,M2,1.775,0.07500000000000007,10x4,,
Tribologie,Weiss,B+1+2+3,M3,1.8,0.050000000000000044,10x4,,
Tribologie,Weiss,B+1+2,M1,1.675,0.07499999999999996,10x4,,
Tribologie,Weiss,B+1+2,M2,1.7,0.050000000000000044,10x4,,
Tribologie,Weiss,B+1+2,M3,1.725,0.07500000000000007,10x4,,
Tribologie,Weiss,B+1,M1,1.5,0.050000000000000044,10x4,,
Tribologie,Weiss,B+1,M2,1.525,0.07500000000000007,10x4,,
Tribologie,Weiss,B+1,M3,1.525,0.07500000000000007,10x4,,
Tribologie,Weiss,B,M1,1.3,0.050000000000000044,10x4,,
Tribologie,Weiss,B,M2,1.3,0.050000000000000044,10x4,,
Tribologie,Weiss,B,M3,1.275,0.07500000000000007,10x4,,
Tribologie,Schwarz,B+1+2+3+4,M1,4.2,0.04999999999999982,3.9x10,,
Tribologie,Schwarz,B+1+2+3+4,M2,3.9749999999999996,0.07499999999999996,3.9x10,,
Tribologie,Schwarz,B+1+2+3+4,M3,4.075,0.07500000000000018,3.9x10,,
Tribologie,Schwarz,B+1+2+3,M1,3.65,0.10000000000000009,3.9x10,,
Tribologie,Schwarz,B+1+2+3,M2,3.7,0.09999999999999987,3.9x10,,
Tribologie,Schwarz,B+1+2+3,M3,3.75,0.10000000000000009,3.9x10,,
Tribologie,Schwarz,B+1+2,M1,3.325,0.07499999999999996,3.9x10,,
Tribologie,Schwarz,B+1+2,M2,3.35,0.10000000000000009,3.9x10,,
Tribologie,Schwarz,B+1+2,M3,3.35,0.10000000000000009,3.9x10,,
Tribologie,Schwarz,B+1,M1,2.875,0.07500000000000018,3.9x10,,
Tribologie,Schwarz,B+1,M2,2.875,0.07500000000000018,3.9x10,,
Tribologie,Schwarz,B+1,M3,2.9,0.10000000000000009,3.9x10,,
Tribologie,Schwarz,B,M1,2.375,0.07500000000000018,3.9x10,,
Tribologie,Schwarz,B,M2,2.375,0.07500000000000018,3.9x10,,
Tribologie,Schwarz,B,M3,2.375,0.07500000000000018,3.9x10,,
Kleine_Flaeche_Messung,Stahl,,M1,1.45,0.050000000000000044,2x10,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Stahl,,M2,1.45,0.050000000000000044,2x10,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Stahl,,M3,1.45,0.050000000000000044,2x10,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Weiss,,M1,0.975,0.025000000000000022,2x10,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Weiss,,M2,1.0,0.050000000000000044,2x10,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Weiss,,M3,1.0,0.050000000000000044,2x10,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Schwarz,,M1,1.9,0.04999999999999993,2x10.2,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Schwarz,,M2,1.9,0.04999999999999993,2x10.2,5V,Kleine_Flaeche
Kleine_Flaeche_Messung,Schwarz,,M3,1.95,0.050000000000000044,2x10.2,5V,Kleine_Flaeche
Grosse_Flaeche_Spannung,Stahl,,M1,1.7,0.19999999999999996,10x3.9,7V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Stahl,,M2,1.7,0.19999999999999996,10x3.9,7V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Stahl,,M3,1.7,0.19999999999999996,10x3.9,7V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Stahl,,M1,1.725,0.22499999999999998,10x3.9,9V,Grosse_Flaeche_Voltage
Grosse_Flaeche_Spannung,Stahl,,M2,1.75,0.25,10x3.9,9V,Grosse_Flaeche_Voltage
